Method,Slice,Raw_Size(B),Comp_Size(B),BPB,Comp_Time(s),Decomp_Time(s),Comp_Throughput(MB/s),Decomp_Throughput(MB/s),Lossless
gzip,1KB,1024,346,2.703125,7.159999995565158e-05,2.8500000098574674e-05,13.639141069900479,34.26535075867734,True
bzip2,1KB,1024,401,3.1328125,0.0001472000003559515,4.760000001624576e-05,6.634256098087817,20.51601890056096,True
xz,1KB,1024,412,3.21875,0.013025399999605725,5.319999991115765e-05,0.07497370522437394,18.356438000579494,True
zstd,1KB,1024,351,2.7421875,0.0002088999999614316,2.4599999960628338e-05,4.674784586789368,39.6976626651611,True
gzip,10KB,10240,3814,2.9796875,0.000204800000119576,0.00011709999989761855,47.683715792471546,83.39560212244375,True
bzip2,10KB,10240,3824,2.9875,0.00088129999994635,0.0002710000003389723,11.080931579024726,36.03551656009209,True
xz,10KB,10240,3748,2.928125,0.014655100000254606,0.00020479999966482865,0.6663635867261458,47.68371589835066,True
zstd,10KB,10240,3760,2.9375,0.00172870000005787,2.500000027794158e-05,5.649114941674719,390.62499565716286,True
gzip,100KB,102400,37099,2.898359375,0.004157100000156788,0.0003639000001385284,23.491436336945664,268.36012630619535,True
bzip2,100KB,102400,32010,2.50078125,0.004953199999818025,0.0021400999999059422,19.715789793181735,45.631629365119394,True
xz,100KB,102400,33756,2.6371875,0.028533499999866763,0.0013395999999374908,3.422512134875007,72.89955957342258,True
zstd,100KB,102400,34509,2.696015625,0.02315520000001925,0.00012719999995169928,4.217465191400585,767.7378147569362,True
gzip,1MB,1048576,371078,2.8311004638671875,0.04405059999999139,0.003450700000030338,22.701166385933345,289.79627321737854,True
bzip2,1MB,1048576,294143,2.2441329956054688,0.051177800000004936,0.025350800000069285,19.539722301464767,39.44648689576925,True
xz,1MB,1048576,302764,2.309906005859375,0.22558000000026368,0.011410000000068976,4.4330171114408685,87.64241893023267,True
zstd,1MB,1048576,312643,2.3852767944335938,0.22759399999995367,0.0012759000001096865,4.393788939955375,783.7604827290792,True
