Method,File,Slice,Raw_Size(B),Comp_Size(B),BPB,Comp_Time(s),Decomp_Time(s),Comp_Throughput(MB/s),Decomp_Throughput(MB/s),Lossless
gzip,enwik8_1KB.txt,1KB,1024,346,2.703125,0.000363,3.45E-05,2.690254813,28.30615879,TRUE
bzip2,enwik8_1KB.txt,1KB,1024,401,3.1328125,0.0003733,6.33E-05,2.616025989,15.42752765,TRUE
xz,enwik8_1KB.txt,1KB,1024,412,3.21875,0.0162427,5.95E-05,0.060123163,16.41281509,TRUE
zstd,enwik8_1KB.txt,1KB,1024,351,2.7421875,0.0002167,2.20E-05,4.506518223,44.3892042,TRUE
gzip,alice_in_wonderland_10KB.txt,10KB,10240,4657,3.63828125,0.0002679,7.10E-05,36.45250082,137.5440133,TRUE
bzip2,alice_in_wonderland_10KB.txt,10KB,10240,4335,3.38671875,0.000938,0.0002784,10.41111408,35.07767614,TRUE
xz,alice_in_wonderland_10KB.txt,10KB,10240,4564,3.565625,0.0148769,0.0002265,0.656428759,43.11534211,TRUE
zstd,alice_in_wonderland_10KB.txt,10KB,10240,4516,3.528125,0.0013151,2.66E-05,7.42576611,367.1287506,TRUE
gzip,cp_10KB.html,10KB,10240,3697,2.88828125,0.0001818,5.65E-05,53.71630911,172.8429231,TRUE
bzip2,cp_10KB.html,10KB,10240,3729,2.91328125,0.0016163,0.0003394,6.041963126,28.77320275,TRUE
xz,cp_10KB.html,10KB,10240,3656,2.85625,0.0152754,0.0001932,0.639304044,50.54671337,TRUE
zstd,cp_10KB.html,10KB,10240,3624,2.83125,0.0018035,2.32E-05,5.414818405,420.9321082,TRUE
gzip,enwik8_10KB.txt,10KB,10240,3814,2.9796875,0.0001887,5.63E-05,51.75211981,173.4569234,TRUE
bzip2,enwik8_10KB.txt,10KB,10240,3824,2.9875,0.0010207,0.000245,9.567576177,39.859694,TRUE
xz,enwik8_10KB.txt,10KB,10240,3748,2.928125,0.0164814,0.0002003,0.592523997,48.75499274,TRUE
zstd,enwik8_10KB.txt,10KB,10240,3760,2.9375,0.0016266,2.27E-05,6.003704044,430.2037436,TRUE
gzip,enwik8_100KB.txt,100KB,102400,37099,2.898359375,0.0040334,0.0003936,24.21189319,248.1103917,TRUE
bzip2,enwik8_100KB.txt,100KB,102400,32010,2.50078125,0.0054151,0.0021875,18.03406216,44.64285714,TRUE
xz,enwik8_100KB.txt,100KB,102400,33756,2.6371875,0.0303203,0.0014523,3.220820704,67.24247749,TRUE
zstd,enwik8_100KB.txt,100KB,102400,34509,2.696015625,0.0247709,0.0001649,3.942377951,592.2149769,TRUE
gzip,enwik8_1MB.txt,1MB,1048576,371078,2.831100464,0.0449268,0.0032715,22.25842927,305.6701819,TRUE
bzip2,enwik8_1MB.txt,1MB,1048576,294143,2.244132996,0.0592442,0.0264674,16.87928945,37.78232845,TRUE
xz,enwik8_1MB.txt,1MB,1048576,302764,2.309906006,0.2392264,0.0115779,4.180140653,86.37144906,TRUE
zstd,enwik8_1MB.txt,1MB,1048576,312643,2.385276794,0.2154113,0.0011824,4.642281997,845.7374822,TRUE
,,,,,,,,,,
