Method,Slice,Raw_Size(B),Comp_Size(B),BPB,Comp_Time(s),Decomp_Time(s),Comp_Throughput(MB/s),Decomp_Throughput(MB/s),Lossless
gzip,1KB,1024,346,2.703125,6.330000178422779e-05,2.6100002287421376e-05,15.427527211276102,37.416184460284285,True
bzip2,1KB,1024,401,3.1328125,0.00014479999663308263,4.269999772077426e-05,6.744216317038806,22.870317380014427,True
xz,1KB,1024,412,3.21875,0.013400200004980434,7.899999764049426e-05,0.07287671076827527,12.36155100211583,True
zstd,1KB,1024,351,2.7421875,0.00023740000324323773,2.660000609466806e-05,4.113574080280966,36.71286752809244,True
gzip,10KB,10240,3814,2.9796875,0.00019299999985378236,5.870000313734636e-05,50.5990933025828,166.36498259038208,True
bzip2,10KB,10240,3824,2.9875,0.0007886999956099316,0.00024059999850578606,12.381926023022064,40.588632837273906,True
xz,10KB,10240,3748,2.928125,0.0151897999967332,0.00019020000036107376,0.6429067533542409,51.3439799235596,True
zstd,10KB,10240,3760,2.9375,0.0017701000033412129,2.2799998987466097e-05,5.516990555090989,428.3169049862012,True
gzip,100KB,102400,37099,2.898359375,0.004024400004709605,0.0003848999986075796,24.266039629688038,253.71849922910576,True
bzip2,100KB,102400,32010,2.50078125,0.004749899999296758,0.0020249999943189323,20.5596433639568,48.22530877726975,True
xz,100KB,102400,33756,2.6371875,0.029434500000206754,0.0012989999959245324,3.317747880864769,75.17802179090499,True
zstd,100KB,102400,34509,2.696015625,0.023157800002081785,0.00012450000212993473,4.216991682768706,784.3875367815723,True
gzip,1MB,1048576,371078,2.8311004638671875,0.0422921999997925,0.0030438999965554103,23.645022013631504,328.5259046393235,True
bzip2,1MB,1048576,294143,2.2441329956054688,0.04773890000069514,0.022161100001540035,20.947277796208937,45.12411387207798,True
xz,1MB,1048576,302764,2.309906005859375,0.20499390000622952,0.011039999997592531,4.878193936354259,90.57971016468005,True
zstd,1MB,1048576,312643,2.3852767944335938,0.21678539999993518,0.0010922000001301058,4.612856769876103,915.5832264062235,True
